thermal_time,pea_height,wheat_height,Pea_LI,wheat_LI,pea_lai,wheat_lai,pea_height,wheat_height
203.306,0.0153054,0.0217709,0.005182199,0.012987,0.0152174,0.0304348,0.0153054,0.0217709
251.832,0.030444,0.0455302,0.011844087,0.025974,0.0304348,0.0152174,0.030444,0.0455302
300.339,0.0542033,0.0671376,0.031408861,0.0367965,0.0608696,0.076087,0.0542033,0.0671376
351.891,0.0736555,0.0887417,0.066027003,0.047619,0.106522,0.0608696,0.0736555,0.0887417
400.403,0.0952596,0.106032,0.102808778,0.0562771,0.182609,0.0608696,0.0952596,0.106032
448.888,0.129795,0.106085,0.150329806,0.0649351,0.273913,0.0913043,0.129795,0.106085
497.391,0.155709,0.103982,0.210753721,0.0779221,0.441304,0.182609,0.155709,0.103982
548.924,0.183782,0.108348,0.273354422,0.0865801,0.608696,0.243478,0.183782,0.108348
600.462,0.2097,0.1084,0.340203474,0.101732,0.821739,0.380435,0.2097,0.1084
648.956,0.239925,0.110611,0.396352732,0.134199,1.08043,0.578261,0.239925,0.110611
697.468,0.261529,0.108508,0.437422316,0.162338,1.26304,0.852174,0.261529,0.108508
745.971,0.287443,0.153826,0.461288053,0.207792,1.46087,1.11087,0.287443,0.153826
794.475,0.313358,0.166806,0.485166942,0.244589,1.61304,1.47609,0.313358,0.166806
843.005,0.326341,0.203496,0.481089577,0.305195,1.75,1.67391,0.326341,0.203496
894.598,0.326397,0.229417,0.492052427,0.322511,1.91739,1.82609,0.326397,0.229417
946.192,0.326452,0.270418,0.487975062,0.339827,1.96304,1.99348,0.326452,0.270418
991.715,0.326502,0.307108,0.477433102,0.372294,1.99348,2.17609,0.326502,0.307108
1046.35,0.324405,0.324405,0.477643546,0.380952,2.03913,2.41957,0.324405,0.324405
1094.89,0.330923,0.343851,0.452035065,0.430736,2.11522,2.58696,0.330923,0.343851
1140.35,0.3633,0.391324,0.417850966,0.480519,2.16087,2.84565,0.3633,0.391324
1194.92,0.389221,0.451718,0.400857562,0.515152,2.31304,2.92174,0.389221,0.451718
1243.42,0.41729,0.494877,0.394616563,0.538961,2.49565,2.99783,0.41729,0.494877
1288.88,0.445357,0.570361,0.375472678,0.562771,2.60217,3.19565,0.445357,0.570361
1340.41,0.475585,0.624296,0.386461834,0.556277,2.76957,3.5,0.475585,0.624296
1388.93,0.495034,0.663141,0.380220835,0.5671,2.86087,3.28696,0.495034,0.663141
1443.49,0.525265,0.669662,0.369678875,0.569264,2.93696,3.19565,0.525265,0.669662
1491.99,0.553335,0.671867,0.363437876,0.577922,2.98261,3.19565,0.553335,0.671867
1537.46,0.579246,0.689157,0.387329918,0.556277,3.01304,3.15,0.579246,0.689157
1589.01,0.596543,0.687067,0.415470311,0.525974,3.08913,3.13478,0.596543,0.687067
1637.57,0.596596,0.684958,0.435074543,0.502164,2.99783,3.10435,0.596596,0.684958
1686.09,0.613889,0.691476,0.456737188,0.480519,3.01304,3.08913,0.613889,0.691476
1737.62,0.644117,0.689383,0.476328267,0.458874,2.83043,2.92174,0.644117,0.689383
1789.16,0.670035,0.689429,0.489441598,0.437229,2.73913,2.8913,0.670035,0.689429
1837.64,0.70457,0.689481,0.500404448,0.417749,2.55652,2.84565,0.70457,0.689481
1886.18,0.715399,0.68954,0.494189755,0.415584,2.29783,2.66304,0.715399,0.68954
1934.74,0.715451,0.689592,0.485811428,0.406926,2.11522,2.57174,0.715451,0.689592
1986.32,0.721972,0.689644,0.449463695,0.419913,1.85652,2.4,0.721972,0.689644
